id,old_category,proposed_category,confidence,reason
2c7fe88f-4774-474c-ac9b-ca5b5e273493,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9f79e312-152b-489b-98fb-4b20bc1d5b92,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c2e64be8-6f6d-4e26-b23f-bf0699463d5c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
192a36fc-eb5f-48e6-b858-66356fad8c69,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a44be23f-91e2-4158-a1b6-53258d4cda95,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2c75629a-7474-46c2-b55e-dced5face298,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
0afd5c22-c04d-4c9b-beee-43da8ee6de7e,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
85cab4fe-149e-4cd3-9bb4-f54ceb37456c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6e0d325e-bf85-4898-894f-97acb5e54c90,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d7e821ab-eeca-4af9-adb1-e45feebfa66d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
bd13f376-590d-43b3-9d19-3e13dc855cba,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
adaf48b7-edff-4014-9127-0b1bc2c1dede,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9064ac16-61f6-4c1c-9a9a-728733c76152,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a0b7b41f-cb4d-46d8-9674-abdae843b334,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3f2d13cf-e001-40ba-8516-0a5ef06d7a99,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
caaf56d4-df85-4074-954d-5b20bdec2a2b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d34c29b7-8833-41dd-a1f1-7125cb605b9c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
310a6d5b-751b-4b43-8c47-5b7fc94af237,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
e722a05e-b2cc-4761-9db8-9e1985357780,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2c8d2594-40b2-47f1-9a34-72b88a40dc37,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
dc617fd0-8551-44e0-964d-8ad6a467dde5,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
939b4baf-5499-4ea0-b0a6-96991f80b4c4,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4b3ea5e7-2623-466c-8bcf-7a7ea8c87efd,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ebfb8757-2b42-4def-b86a-5870717de2e9,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
5db38c38-5cf0-461e-9fea-29736851694d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
92bfc069-f17a-4318-bdbf-61e22afa11df,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
bd9d6bbd-7ad1-42dd-a612-966ca509f95c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
19e94c1a-2935-4186-9daa-6dc27e449df7,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
0c80a5d9-0051-47c8-aac1-140a2d608bf0,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
7e284f43-98b6-426b-b82b-02a4af197a0f,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
026f0635-b39a-49e1-8725-2e23d54422bd,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
365bdbba-9d85-415e-92fe-f29641eaa5bc,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3a659713-a523-4a16-aaed-e22d3263fc30,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c5f7485b-528a-4b43-bfc3-4495cd815708,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
e514bcfc-a83b-41ad-8cd5-6364ba802979,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a947b27f-3405-49b5-9640-b83f0e78fb41,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a0eae58b-5062-4595-bb61-cce8426605f3,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
27647120-93b0-41cc-b3c6-f73d4238fc6a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6b3c1325-3152-4497-b5cc-69578755f9cb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
16daf836-90f6-4b9b-b5fd-2cd1988c9ef8,"Soap & Bar Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
99774a1a-4482-4e16-9190-0600e79017c7,"Soap & Bar Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
69ff6e2f-18a2-449c-b827-943d9c6f83cb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3574f136-96fa-4c3a-a407-c52f7536fa26,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
0bf916f6-b303-45d1-92d7-776a9b4bae15,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
436d4d42-8105-4f63-993d-bd932ef75c66,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c984c696-7873-4822-8203-0f0ee33c6860,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4959c65b-2728-4d9a-80ed-5c2c94b1a45a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
fef898b1-4f8d-4ffb-977e-5fdfa5c0051a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
d8801c2b-fff6-44a2-9084-025f3899c4ae,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9a983a0a-ab69-4519-bfa5-f70693715284,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6140c6c2-e481-46e4-8181-cd775df7ac4f,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
19e5cee1-7c09-40ff-b300-8023f851c15b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
9ea33f20-82c4-440e-a66e-8404b66f49ed,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
7eed87e5-1ce2-4cf5-afce-d2e7262fba6f,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
